,page_id,text,time,reactions,url
0,هوا سبورت - Hawa sport,"تشكيلة اليورو 🆚 تشكيلة الكوبا
من الأقوى؟",٧ دقائق,تفاعل ‏٩١‏ من الأشخاص مع هذا المنشور;تفاعل ‏٨٧‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٢‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٢‏ من الأشخاص مع ‏هاهاها‏,https://touch.facebook.com/story.php?story_fbid=2957976904489866&id=1443089249311980&anchor_composer=false
1,هوا سبورت - Hawa sport,"ليونيل #ميسي قائد منتخب #الأرجنتين:
""المنتخب الأرجنتيني لم يعتمد عليّ قط، نحاول دائماً تكوين مجموعة قوية وبناء فريق تنافسي""
""حلمي الأكبر هو أن أحصل على لقب بهذا القميص، كنت قريباً جداً عدة مرات ولم يحدث، لكنني سأستمر في المحاولة، وسأقاتل دائماً من أجل هذا الحلم"".",٥ ساعات,تفاعل ‏١٫٣ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫١ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٣٦‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٤٢‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏١٤‏ من الأشخاص مع ‏أدعمه‏;تفاعل شخص واحد مع ‏واااو‏;تفاعل شخص واحد مع ‏أحزنني‏,https://touch.facebook.com/story.php?story_fbid=2957835471170676&id=1443089249311980&anchor_composer=false
2,هوا سبورت - Hawa sport,"(لاغازيتا)📰
#كريستيان إريكسن يعلق للمرة الأولى منذ سقوطه:
""أشعر بتحسن الآن، لكني أريد أن أفهم ما حدث، أريد أن أقول شكراً لكم جميعاً على ما فعلتموه من أجلي"".",٥ ساعات,تفاعل ‏٢٫٧ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏٢٫٣ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٣٠٢‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏١٢‏ من الأشخاص مع ‏أدعمه‏;تفاعل ‏٢‏ من الأشخاص مع ‏أحزنني‏;تفاعل شخص واحد مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957833974504159&id=1443089249311980&anchor_composer=false
3,هوا سبورت - Hawa sport,راقصو السامبا يفتتحون بطولة الكوبا بفوز على فنزويلا بثلاثية نظيفة,١٢ ساعة,تفاعل ‏١٫٨ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫٧ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٦٩‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٥‏ من الأشخاص مع ‏أدعمه‏;تفاعل شخص واحد مع ‏هاهاها‏,https://touch.facebook.com/story.php?story_fbid=2957639224523634&id=1443089249311980&anchor_composer=false
4,هوا سبورت - Hawa sport,"جوووووووووول
الثالث للبرازيل عن طريق غابرييل",١٢ ساعة,تفاعل ‏٧٤٦‏ من الأشخاص مع هذا المنشور;تفاعل ‏٧٢٤‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٢٢‏ من الأشخاص مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957636534523903&id=1443089249311980&anchor_composer=false
5,هوا سبورت - Hawa sport,"اكثر من سجل للمنتخب البرازيلي 👏🏼🔥🔥
77 بيليه
67 نيمار ⚽️
62 رونالدو
55 روماريو
48 زيكو
39 بيبيتو
35 ريفالدو
33 رونالدينهو",١٣ ساعة,تفاعل ‏٥٢٦‏ من الأشخاص مع هذا المنشور;تفاعل ‏٤٨٥‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٣٤‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٥‏ من الأشخاص مع ‏أدعمه‏;تفاعل شخص واحد مع ‏هاهاها‏;تفاعل شخص واحد مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957628377858052&id=1443089249311980&anchor_composer=false
6,هوا سبورت - Hawa sport,نيمار على بعد 12 هدف ليحطم رقم الهداف التاريخي للمنتخب البرازيلي بيليه و منتخبات القارة الامريكية,١٣ ساعة,تفاعل ‏٦٦٢‏ من الأشخاص مع هذا المنشور;تفاعل ‏٦١٤‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٤٥‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٢‏ من الأشخاص مع ‏أدعمه‏;تفاعل شخص واحد مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957626911191532&id=1443089249311980&anchor_composer=false
7,هوا سبورت - Hawa sport,"جوووووووووووووووووووول
النيمو يسجل الثاني للسيليساو 🔥",١٣ ساعة,تفاعل ‏٨٥٥‏ من الأشخاص مع هذا المنشور;تفاعل ‏٧٨٦‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٦١‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٥‏ من الأشخاص مع ‏أدعمه‏;تفاعل ‏٢‏ من الأشخاص مع ‏هاهاها‏;تفاعل شخص واحد مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957626301191593&id=1443089249311980&anchor_composer=false
8,هوا سبورت - Hawa sport,"الدقيقة 47
البرازيل 1
فنزويلا 0",١٣ ساعة,تفاعل ‏٢٥٤‏ من الأشخاص مع هذا المنشور;تفاعل ‏٢٤٧‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٦‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏أدعمه‏,https://touch.facebook.com/story.php?story_fbid=2957619731192250&id=1443089249311980&anchor_composer=false
9,هوا سبورت - Hawa sport,"احصائيات الشوط الاول :
البرازيل 🆚 فنزويلا
- الاستحواذ : 60% - 40%
- الفرص : 6-0
- نسبة نجاح التمريرات : 87% - 80%
- التسديدات (داخل المرمى) : 7(3) - 2(1)
- ركنيات : 6-3
- مخالفات : 5-5
- تسلل : 2-1
#CopaAmerica",١٣ ساعة,تفاعل ‏٤١٥‏ من الأشخاص مع هذا المنشور;تفاعل ‏٤٠٨‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٧‏ من الأشخاص مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957615071192716&id=1443089249311980&anchor_composer=false
10,هوا سبورت - Hawa sport,شوط اول ينتهي بتفوق منتخب السيليساو بهدف ماركينيوس,١٣ ساعة,تفاعل ‏٨٦٩‏ من الأشخاص مع هذا المنشور;تفاعل ‏٨٣٧‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٣١‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏هاهاها‏,https://touch.facebook.com/story.php?story_fbid=2957611234526433&id=1443089249311980&anchor_composer=false
11,هوا سبورت - Hawa sport,"مرور اكثر من نصف ساعة والنتيجة تشير الى تقدم المنتخب البرازيلي بهدف ماركينيوس على المنتخب الفنزولي
#Copa2021",١٤ ساعة,تفاعل ‏٩٤٢‏ من الأشخاص مع هذا المنشور;تفاعل ‏٩٣٦‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٥‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏أغضبني‏,https://touch.facebook.com/story.php?story_fbid=2957604467860443&id=1443089249311980&anchor_composer=false
12,هوا سبورت - Hawa sport,"مباريات الاثنين
#euro2020",١٤ ساعة,تفاعل ‏٥٩١‏ من الأشخاص مع هذا المنشور;تفاعل ‏٥٨١‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٦‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٢‏ من الأشخاص مع ‏واااو‏;تفاعل شخص واحد مع ‏هاهاها‏;تفاعل شخص واحد مع ‏أدعمه‏,https://touch.facebook.com/story.php?story_fbid=2957600971194126&id=1443089249311980&anchor_composer=false
13,هوا سبورت - Hawa sport,"نتائج مباريات اليوم
#euro2020",١٤ ساعة,تفاعل ‏٣١٤‏ من الأشخاص مع هذا المنشور;تفاعل ‏٣١٣‏ من الأشخاص مع ‏أعجبني‏;تفاعل شخص واحد مع ‏هاهاها‏,https://touch.facebook.com/story.php?story_fbid=2957600381194185&id=1443089249311980&anchor_composer=false
14,هوا سبورت - Hawa sport,"المباراة تنطلق|
البرازيل 🆚 بنزويلا",١٤ ساعة,تفاعل ‏٨٦٨‏ من الأشخاص مع هذا المنشور;تفاعل ‏٧٩٩‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٦٠‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏٨‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957590357861854&id=1443089249311980&anchor_composer=false
15,هوا سبورت - Hawa sport,"نهاية أجمل مباريات اليورو :
هولندا 3
اوكرانيا 2",١٤ ساعة,تفاعل ‏٢٫٣ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏٢٫١ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٧٧‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٨‏ من الأشخاص مع ‏أدعمه‏;تفاعل ‏٢‏ من الأشخاص مع ‏أحزنني‏;تفاعل شخص واحد مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957583131195910&id=1443089249311980&anchor_composer=false
16,هوا سبورت - Hawa sport,"جنوووووووون
هولندا تسجل الثالث عن طريق دومفريس في الدقيقة 85'
هولندا 3
اوكرانيا 2",١٥ ساعة,تفاعل ‏١٫٥ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫٤ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٢٨‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٤‏ من الأشخاص مع ‏واااو‏;تفاعل ‏٢‏ من الأشخاص مع ‏أدعمه‏,https://touch.facebook.com/story.php?story_fbid=2957574817863408&id=1443089249311980&anchor_composer=false
17,هوا سبورت - Hawa sport,"جووووووووول
اوكرانيا تعدل النتيجة عن طريق ياريمشوك في أجمل مباريات اليورو لحد الآن
هولندا 2
اوكرانيا 2",١٥ ساعة,تفاعل ‏١٫٥ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫٥ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٢‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٣‏ من الأشخاص مع ‏أدعمه‏;تفاعل ‏٢‏ من الأشخاص مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957570914530465&id=1443089249311980&anchor_composer=false
18,هوا سبورت - Hawa sport,"جووووووول
يارمولينكو يقلص الفارق بصاروخية لا تصد ولا ترد 🔥🔥
هولندا 2
اوكرانيا 1",١٥ ساعة,تفاعل ‏٩٣٢‏ من الأشخاص مع هذا المنشور;تفاعل ‏٩٢٧‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٥‏ من الأشخاص مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957566321197591&id=1443089249311980&anchor_composer=false
19,هوا سبورت - Hawa sport,"تشكيلة المنتخبين البرازيل - فنزويلا ..
المباراة بعد نصف ساعة من الآن",١٥ ساعة,تفاعل ‏٤١٦‏ من الأشخاص مع هذا المنشور;تفاعل ‏٤٠٨‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٧‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏أدعمه‏,https://touch.facebook.com/story.php?story_fbid=2957563897864500&id=1443089249311980&anchor_composer=false
20,هوا سبورت - Hawa sport,"جوووووول ثاني لهولندا عن طريق فيغورست
هولندا 2
اوكرانيا 0",١٥ ساعة,تفاعل ‏٧٥١‏ من الأشخاص مع هذا المنشور;تفاعل ‏٧٤١‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٩‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏واااو‏,https://touch.facebook.com/story.php?story_fbid=2957555484532008&id=1443089249311980&anchor_composer=false
21,هوا سبورت - Hawa sport,"جووووووووول
فينالدوووم يسجل الأول للطواحين الهولندية
هولندا 1
اوكرانيا 0",١٥ ساعة,تفاعل ‏١٫١ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫١ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٤‏ من الأشخاص مع ‏أحببته‏;تفاعل شخص واحد مع ‏هاهاها‏;تفاعل شخص واحد مع ‏أدعمه‏,https://touch.facebook.com/story.php?story_fbid=2957550494532507&id=1443089249311980&anchor_composer=false
22,هوا سبورت - Hawa sport,نهاية الشوط الأول بين هولندا واوكرانيا بالتعادل السلبي,١٥ ساعة,تفاعل ‏٦٨٨‏ من الأشخاص مع هذا المنشور;تفاعل ‏٦٨٧‏ من الأشخاص مع ‏أعجبني‏;تفاعل شخص واحد مع ‏أحببته‏,https://touch.facebook.com/story.php?story_fbid=2957533574534199&id=1443089249311980&anchor_composer=false
